,artist_id,artist_name,artist_popularity,genres,artist_url,image_url
0,2IUl3m1H1EQ7QfNbNWvgru,Vaundy,74,"['j-pop', 'japanese soul']",https://open.spotify.com/artist/2IUl3m1H1EQ7QfNbNWvgru,https://i.scdn.co/image/ab6761610000e5eb104822dfaac494e992c7e3f6
1,5Vo1hnCRmCM6M4thZCInCj,OFFICIAL HIGE DANDISM,73,"['anime', 'anime rock', 'j-pop']",https://open.spotify.com/artist/5Vo1hnCRmCM6M4thZCInCj,https://i.scdn.co/image/ab6761610000e5eb5b435ca1c4b22290103513c0
2,0bAsR2unSRpn6BQPEnNlZm,Aimer,69,"['anime', 'anime rock', 'j-pixie', 'j-pop', 'j-poprock']",https://open.spotify.com/artist/0bAsR2unSRpn6BQPEnNlZm,https://i.scdn.co/image/ab6761610000e5eb92dac8a69c119f259ec42c8e
3,0ixzjrK1wkN2zWBXt3VW3W,Yuuri,71,"['j-pop', 'japanese singer-songwriter', 'japanese teen pop']",https://open.spotify.com/artist/0ixzjrK1wkN2zWBXt3VW3W,https://i.scdn.co/image/ab6761610000e5eb2a98f9ecf7217c8f910f9f83
4,1snhtMLeb2DYoMOcVbb8iB,Kenshi Yonezu,74,"['anime', 'j-pop']",https://open.spotify.com/artist/1snhtMLeb2DYoMOcVbb8iB,https://i.scdn.co/image/ab6761610000e5eb9bab09e161020c684510876d
5,64tJ2EAv1R6UaZqc4iOCyj,YOASOBI,79,"['j-pop', 'japanese teen pop']",https://open.spotify.com/artist/64tJ2EAv1R6UaZqc4iOCyj,https://i.scdn.co/image/ab6761610000e5ebfbe071f5bc42f38d3485a29a
6,2Hf3gzOBTpBaL0SqyPjX8m,れん,51,['japanese teen pop'],https://open.spotify.com/artist/2Hf3gzOBTpBaL0SqyPjX8m,https://i.scdn.co/image/ab6761610000e5eb991b4134e3f1b175deafe81b
7,5u1MCRvQ3cA2Y9BpLSZIeg,DURDN,55,[],https://open.spotify.com/artist/5u1MCRvQ3cA2Y9BpLSZIeg,https://i.scdn.co/image/ab6761610000e5eba50ac17ae199f336d364d0fd
8,1XYuC1vxinTjHCNd5clB8C,ARASHI,63,['j-pop'],https://open.spotify.com/artist/1XYuC1vxinTjHCNd5clB8C,https://i.scdn.co/image/ab6761610000e5ebd95960a63ea1df7f97fcab29
9,4TaSvnT5o4REFwhqfrmK27,imase,67,['japanese teen pop'],https://open.spotify.com/artist/4TaSvnT5o4REFwhqfrmK27,https://i.scdn.co/image/ab6761610000e5eba6bd62ba021ff5f9752b3680
10,7LTiBdByoaUd329wCpmMcM,MAISONdes,61,['japanese teen pop'],https://open.spotify.com/artist/7LTiBdByoaUd329wCpmMcM,https://i.scdn.co/image/ab6761610000e5eb4cff40e8e78eb88bb67fb9e1
11,6whFEcaV75AmQMiwlfaxvc,QUEEN BEE,60,"['anime rock', 'dance rock', 'j-rock']",https://open.spotify.com/artist/6whFEcaV75AmQMiwlfaxvc,https://i.scdn.co/image/ab6761610000e5eb101b8147947d53e23c3b2012
12,4eF1tYcUa9voNDX7xVTrZG,tonun,48,['japanese r&b'],https://open.spotify.com/artist/4eF1tYcUa9voNDX7xVTrZG,https://i.scdn.co/image/ab6761610000e5eb3063a671bb076c1db6c54528
13,1mN9lPKzTRTOop4u7S1Uy9,iri,57,"['j-pop', 'japanese electropop', 'japanese r&b']",https://open.spotify.com/artist/1mN9lPKzTRTOop4u7S1Uy9,https://i.scdn.co/image/ab6761610000e5eb3cdc80993a1f956f62db2ee9
14,4QvgGvpgzgyUOo8Yp8LDm9,Mrs. GREEN APPLE,73,"['anime rock', 'j-pop', 'j-rock']",https://open.spotify.com/artist/4QvgGvpgzgyUOo8Yp8LDm9,https://i.scdn.co/image/ab6761610000e5eb968120b0312a7893ec391560
15,58oPVy7oihAEXE0Ott6JOf,Eve,68,"['anime', 'anime rock']",https://open.spotify.com/artist/58oPVy7oihAEXE0Ott6JOf,https://i.scdn.co/image/ab6761610000e5eb4d98c5b65d054495b497409a
16,7mvhRvEAHiCTQHUnH7fgnv,キタニタツヤ,58,['japanese electropop'],https://open.spotify.com/artist/7mvhRvEAHiCTQHUnH7fgnv,https://i.scdn.co/image/ab6761610000e5ebbb2b58704b1f6740d39271c3
17,7n2Ycct7Beij7Dj7meI4X0,TWICE,81,"['k-pop', 'k-pop girl group', 'pop']",https://open.spotify.com/artist/7n2Ycct7Beij7Dj7meI4X0,https://i.scdn.co/image/ab6761610000e5eb8944c8aec8db82f35980b191
18,6WmXWHmfBMhupyIs8MSqtu,natori,65,[],https://open.spotify.com/artist/6WmXWHmfBMhupyIs8MSqtu,https://i.scdn.co/image/ab6761610000e5ebc9ee6593ec80e073c20eccc8
19,7JthQ6zwNzfxRfIEjp6wUs,HIRAIDAI,66,"['j-pop', 'japanese singer-songwriter', 'japanese teen pop']",https://open.spotify.com/artist/7JthQ6zwNzfxRfIEjp6wUs,https://i.scdn.co/image/ab6761610000e5eb7eb31da628fe8f07558b7a98
